Film Raporu
------------
KareKare #    Kare Byte    Total Byte    Sayfa
----------    ---------    ----------    ----------------
    1         15762          15762        Scene 1
    2         13924          29686          2
    3          7830          37516          3
    4         23125          60641          4
    5           174          60815          5
    6          1393          62208          6
    7             2          62210          7
    8             2          62212          8
    9             2          62214          9
   10             2          62216          10
   11            36          62252          11
   12            19          62271          12
   13            23          62294          13
   14            23          62317          14
   15           160          62477          15
   16            29          62506          16
   17            51          62557          17
   18            23          62580          18
   19            23          62603          19
   20            19          62622          20
   21            18          62640          21
   22             2          62642          22
   23             2          62644          23
   24             2          62646          24
   25             2          62648          25
   26            15          62663          26
   27             2          62665          27
   28             2          62667          28
   29             2          62669          29
   30             2          62671          30
   31             2          62673          31
   32             2          62675          32
   33            36          62711          33
   34            19          62730          34
   35            23          62753          35
   36            23          62776          36
   37           185          62961          37
   38            22          62983          38
   39            31          63014          39
   40            23          63037          40
   41            23          63060          41
   42            19          63079          42
   43            18          63097          43
   44             2          63099          44
   45             2          63101          45
   46             2          63103          46
   47             2          63105          47
   48            15          63120          48
   49             2          63122          49
   50             2          63124          50
   51             2          63126          51
   52             2          63128          52
   53             2          63130          53
   54             2          63132          54
   55            36          63168          55
   56            19          63187          56
   57            23          63210          57
   58            23          63233          58
   59           188          63421          59
   60            28          63449          60
   61            23          63472          61
   62            23          63495          62
   63            23          63518          63
   64            19          63537          64
   65            18          63555          65
   66             2          63557          66
   67             2          63559          67
   68             2          63561          68
   69             2          63563          69
   70            15          63578          70
   71             2          63580          71
   72             2          63582          72
   73             2          63584          73
   74             2          63586          74
   75             2          63588          75
   76             2          63590          76
   77            36          63626          77
   78            19          63645          78
   79            23          63668          79
   80            23          63691          80
   81            23          63714          81
   82           168          63882          82
   83            49          63931          83
   84            23          63954          84
   85            23          63977          85
   86            19          63996          86
   87            18          64014          87
   88             2          64016          88
   89             2          64018          89
   90             2          64020          90
   91             2          64022          91
   92            15          64037          92
   93             2          64039          93
   94             2          64041          94
   95             2          64043          95
   96             2          64045          96
   97             2          64047          97
   98             2          64049          98
   99            36          64085          99
  100            19          64104          100
  101            23          64127          101
  102            23          64150          102
  103           190          64340          103
  104            28          64368          104
  105            23          64391          105
  106            23          64414          106
  107            23          64437          107
  108            19          64456          108
  109            18          64474          109
  110             2          64476          110
  111             2          64478          111
  112             2          64480          112
  113             2          64482          113
  114            15          64497          114
  115             2          64499          115
  116             2          64501          116
  117             2          64503          117
  118             2          64505          118
  119             2          64507          119
  120             2          64509          120
  121            36          64545          121
  122            19          64564          122
  123            23          64587          123
  124            23          64610          124
  125           186          64796          125
  126            28          64824          126
  127            23          64847          127
  128            23          64870          128
  129            23          64893          129
  130            19          64912          130
  131            18          64930          131
  132             2          64932          132
  133             2          64934          133
  134             2          64936          134
  135             2          64938          135
  136            15          64953          136
  137             2          64955          137
  138             2          64957          138
  139             2          64959          139
  140             2          64961          140
  141             2          64963          141
  142             2          64965          142
  143            36          65001          143
  144            19          65020          144
  145            23          65043          145
  146            23          65066          146
  147           187          65253          147
  148            28          65281          148
  149            23          65304          149
  150            23          65327          150
  151            23          65350          151
  152            19          65369          152
  153            18          65387          153
  154             2          65389          154
  155             2          65391          155
  156             2          65393          156
  157             2          65395          157
  158            15          65410          158
  159             2          65412          159
  160             2          65414          160
  161             2          65416          161
  162             2          65418          162
  163             2          65420          163
  164             2          65422          164
  165            36          65458          165
  166            19          65477          166
  167            23          65500          167
  168            23          65523          168
  169           188          65711          169
  170            28          65739          170
  171            23          65762          171
  172            23          65785          172
  173            23          65808          173
  174            19          65827          174
  175            18          65845          175
  176             2          65847          176
  177             2          65849          177
  178             2          65851          178
  179             2          65853          179
  180            15          65868          180
  181             2          65870          181

Sayfa                       Þekil Byte    Metin Byte
------------------------    ----------    ----------
Scene 1                       11810          1247

Sayfa                       Sembol Byte    Metin Byte
------------------------    -----------    ----------
anim 1                         1910             0
Animation                         0             0
Apeture 1                       706             0
Apeture 2                       961             0
Apeture 3                       964             0
Apeture 4                      1254             0
Apeture 5                      1270             0
Apeture 6                      1164             0
Big Purple Button                 0             0
Big Yellow Off                    0             0
Big Yellow Over                   0             0
Blue Bottun Off                   0             0
Blue Button Over               1157             0
Border                          808             0
Highlight                        87             0
Pointer                        1175             0
sitemap                           0             0
Small Yellow Button             822             0
Start Ball                      822             0

Olay Sesleri: 11KHz Mono 4 bit ADPCM

Ses adý                 Byte        Format    
--------------------    --------    ----------
beat3.wav                   22957        11KHz Mono 4 bit ADPCM
move1.wav                    6750        11KHz Mono 4 bit ADPCM
move2.wav                    5470        11KHz Mono 4 bit ADPCM


Ses adý                 Byte        Format    
--------------------    --------    ----------
Arial                          20        
